,O15232,O60635,P07585,P08727,P08833,P14136,P16234,P52823,P55259,Q9P0M4,Q9Y653,Class Label
185,0.0305,-0.1887,-1.9764,3.7452,2.7793,-1.1968,-0.9651,1.4992,3.0477,0.9227,0.2318,0
186,1.6747,-0.564,0.3794,2.9714,3.4898,0.9134,-0.3142,2.4421,0.32,2.8034,-1.1193,0
187,-0.5125,-0.6915,-1.161,2.4895,-1.2637,0.1918,-1.1892,-0.3654,-1.1949,-1.1919,-2.1545,0
188,-0.0434,-0.4765,-0.61,-0.0571,3.3988,-0.4435,0.191,1.3189,-0.1633,-0.2053,0.0054,0
189,-1.4649,-0.6271,-2.0074,-1.5783,-2.2717,-1.1756,-1.689,-1.3178,-2.4301,-1.961,-2.1215,0
190,-1.3114,-0.5892,-1.6852,1.5082,-1.5194,0.2499,-1.3105,-0.4685,-1.8664,0.0944,-1.9788,0
191,-0.2609,-0.4078,-1.9847,1.2012,1.6101,0.0227,-1.5776,-0.5552,-0.9189,-2.3472,-1.1604,0
192,-1.4066,-0.2667,-2.5552,-0.8201,-0.9105,-0.6521,-1.2759,-1.2434,-2.1221,-0.4336,-2.2373,0
193,-0.1882,-0.4148,-0.9791,0.798,-0.43,-1.0108,-1.6225,-0.1226,-1.294,-0.1493,-1.0166,0
194,-1.1179,-0.5096,-2.1885,1.0998,-3.3154,-0.7625,-1.2751,-0.061,-1.1075,0.0749,-1.5974,0
195,-1.292,-0.3998,-0.7779,-0.1394,-0.9656,-0.0346,-1.347,-0.4417,-0.3335,1.0072,-0.0822,0
196,-0.6573,-0.8124,-2.2819,1.2102,-2.7066,-0.9749,-1.934,-1.4646,-1.3195,-0.7116,-1.3129,0
197,-0.2376,-0.4451,-1.7354,-0.3672,-0.7443,-0.0315,-0.5814,-0.3718,-0.6935,-0.6987,-1.8599,0
198,-1.3251,-0.8196,-2.3053,-0.365,-2.8008,-0.1153,-1.1756,-0.7689,-2.2084,-1.1718,-2.0619,0
199,-1.6137,-0.3911,-1.9267,0.2889,-0.8064,-1.0597,-2.0861,-0.5585,-1.686,-1.1687,-3.3895,0
200,-1.8651,-0.4731,-2.4416,-2.8218,-3.8067,-1.3903,-1.7077,-1.4197,-1.2227,-1.7661,-1.5023,0
201,0.0933,-0.3805,-1.9225,0.272,-3.4146,-0.7961,-1.119,-1.039,-0.6734,-0.9532,-2.1389,0
202,-0.6135,-0.5498,-1.8646,0.5298,-2.9519,-0.6377,-1.4137,-0.0838,-1.9877,-1.9706,-2.4532,0
203,0.6958,-0.1674,-0.6369,1.6266,2.7033,-0.3354,-0.1019,-0.9221,4.0274,1.1923,-2.691,0
