,P07585,P08833,P14136,P16234,P52823,P55259,Q9P0M4,Q9Y653,Class Label
232,-2.275,-1.9092,-0.8314,-1.8692,0.0791,-0.804,-1.5299,-1.5679,0
233,-0.8034,-2.2348,0.2124,-1.2705,-0.1659,1.6618,-1.9186,-1.9356,0
234,-1.6928,-2.2783,-0.7276,-2.1785,-1.5571,0.6538,-0.909,-2.3302,0
235,-1.3366,-0.0391,-1.0886,-1.2426,-1.2983,-1.035,-1.5282,-1.4815,0
236,0.3118,1.6913,0.3109,-0.0933,2.725,1.9989,0.452,-0.666,0
237,-2.3467,-1.5824,-0.8605,-1.9159,-0.2255,-1.4486,-2.1372,-1.3697,0
238,-1.7507,-1.8141,0.0784,-0.9587,-1.1252,-1.5968,-0.095,-0.0376,0
239,-1.7746,-3.6446,-2.0368,-1.6386,-0.1943,0.8123,-0.2284,-2.1102,0
240,-1.7643,-3.1896,-1.6885,-1.9488,-0.6939,-0.9905,-0.6727,-2.4452,0
241,-1.8898,-0.7969,-0.4354,-1.5345,-0.3747,-1.2203,0.1474,-2.4727,0
242,-1.3589,1.7304,0.0086,0.0619,1.1762,-0.0762,-0.8709,1.5284,0
243,-2.039,0.1968,-0.2354,-1.6566,-0.5926,2.7181,-2.0206,-1.28,0
244,-0.8861,-1.4535,-0.4347,-1.0235,1.1418,-0.1737,-1.6124,-1.2362,0
245,-1.1561,-1.4303,-0.8332,-1.1731,-0.3912,-0.6017,-0.4176,-1.3727,0
246,-1.567,-0.4202,0.9013,-1.1233,0.2014,-0.3556,0.9284,-1.4503,0
247,-2.6332,-1.6966,-0.4319,-1.573,-0.8741,-0.2372,-0.0481,-1.4376,0
248,-2.0581,0.3122,-0.6106,-1.2259,-0.322,-1.7346,-0.7045,-0.9607,0
249,-0.9147,4.6327,-1.9582,-1.0468,3.0223,1.8237,-0.4167,0.7917,0
250,-2.2792,-1.5511,-1.5802,-1.8621,-1.595,-0.9601,0.2613,-2.683,0
251,-2.0816,-0.7355,-0.622,-2.1643,-1.3351,-0.0516,-1.8177,-0.9196,0
252,-1.4421,-2.5369,-0.6082,-1.9117,-1.146,-1.9024,-0.7994,-0.8382,0
253,-1.9859,1.0442,-0.4913,-1.281,0.7578,-1.5352,-0.1961,-1.3867,0
254,-1.7059,2.1096,-1.5474,-0.4133,-0.4037,-0.5491,-1.8355,-0.3358,0
255,-1.006,2.0131,0.0641,-0.0177,-0.292,0.782,-0.522,-0.8892,0
256,-1.144,1.0716,1.1843,-1.8358,0.9662,1.5133,0.6449,-1.4814,0
257,1.4063,0.6475,3.2035,0.2823,2.6497,2.1509,0.9179,0.3014,0
258,-1.5039,-3.7066,-0.5045,-2.0648,-0.2982,-1.1021,-1.1212,-1.6773,0
259,-0.2906,0.1372,-0.3588,-1.2421,0.5266,1.2085,-0.3957,-0.0211,0
260,-0.7283,0.1426,-0.3863,-0.2906,-0.2943,-0.939,-1.6236,-1.6413,0
261,-2.5549,-1.0768,-0.9641,-1.8042,-1.1821,-0.8217,-1.3773,-2.59,0
262,-2.5791,-0.919,-1.3532,-2.1215,-2.4139,-2.3699,-0.7971,-2.5395,0
263,-1.4613,-0.1671,-0.1035,-0.8129,-1.4115,-0.9989,-0.4166,-1.2562,0
264,-1.2353,1.4541,0.4032,-1.4901,0.3554,0.2681,-0.9749,-0.9806,0
265,-2.2763,-0.9862,-1.0501,-1.5867,-0.577,-0.7369,-0.9649,-1.8882,0
266,-2.0107,-0.3525,-0.1924,-1.5041,-1.1682,-0.1907,-0.6773,-2.182,0
267,-1.3693,1.0082,0.2597,-1.0019,-0.8643,-0.7132,-1.8825,-1.8288,0
268,-1.7936,-1.2352,-1.1815,-1.9424,0.2154,-0.6754,-1.0684,-2.1164,0
269,-0.0057,-2.9999,-0.3481,-1.3572,0.2312,0.1305,-1.0475,-1.6649,0
270,-1.169,-1.4135,-0.6504,-1.3006,0.2213,0.0172,-1.2686,-1.0788,0
271,-1.3396,0.6179,-1.582,-1.046,1.017,-1.2349,5.2428,0.641,0
272,-2.574,1.1059,-1.565,-1.7686,-1.4633,-2.631,-0.9808,-2.9659,0
273,-2.0258,2.7295,-0.5791,-1.3196,1.3804,-0.429,-1.2762,-2.042,0
274,-1.2329,-0.1535,0.1148,-1.5383,-0.5443,-0.2656,1.027,-0.623,0
