,O14793,O60635,P07585,P08727,P14136,P18627,P24387,P52823,P55259,Q92820,Q969V3,Q96NZ8,Q99748,Q9NZV1,Q9P0M4,Q9UGM5,Q9Y653,Class Label
115,-1.8666,-0.3949,-1.9253,-1.4518,-0.8188,-2.1947,-1.3329,-1.7967,0.9908,-1.1329,-0.4038,-1.8432,-0.2524,-1.7175,-1.8553,-0.9321,-1.8654,0
116,-3.5339,-0.802,-2.63,0.0353,-1.5418,-1.3765,-3.0249,1.0365,-1.9931,-2.2801,-0.3776,-1.9486,-0.4366,-2.2965,0.5255,-3.4164,-2.1145,0
117,-2.7128,-0.0731,-0.8138,2.8818,0.1983,0.4331,-1.9907,3.4017,-1.0554,-0.1248,-0.527,-1.7721,0.2587,0.294,-0.7978,-1.8959,-0.8081,0
118,-2.5471,-0.2905,-1.6267,0.1981,-1.3529,-0.2974,-2.6509,-0.7445,-1.1114,-1.0971,-0.0457,-2.2281,0.4024,-1.3012,-0.7296,-1.6107,-2.3782,0
119,-3.2422,-0.452,-2.3106,0.6119,-2.0707,-0.8135,-2.4047,0.7478,-0.5601,-1.9548,-0.4293,-2.5191,-0.292,-1.3786,-2.9989,-3.4642,-0.3071,0
120,-2.3456,-0.631,-2.2741,0.4228,-1.357,-0.3395,-2.3595,-0.2564,-2.6035,-0.8212,-0.0269,-2.4831,-0.0941,-1.3452,-0.4172,-1.727,-2.9649,0
121,-3.8021,0.5063,-1.1197,2.7187,-0.696,-1.0354,-2.4665,1.3,0.2997,-1.5622,-0.2615,-3.0645,-0.5861,-0.8525,-1.2921,-3.1635,-1.3614,0
122,-2.9778,-0.6531,-1.4918,0.2497,0.7344,0.5584,-1.7105,0.17,-0.9222,-0.8565,-0.586,-1.8157,0.0216,-0.1732,-1.3394,-1.1852,-1.2085,0
123,-1.4412,-0.6037,-2.5238,-1.7611,-1.293,-0.6497,-1.8818,-1.0352,-1.0638,-1.363,-0.166,-1.8575,-0.5675,-1.6039,-1.658,-1.9867,-1.8712,0
124,-3.1277,-0.6718,-2.846,-0.597,-2.0069,-0.9536,-1.709,-1.4025,-2.8065,-1.0539,-0.4147,-2.3724,-0.3912,-1.725,-1.2323,-1.4774,-2.5156,0
125,-2.4624,-0.3344,-2.1265,0.1455,-1.391,-0.2152,-2.2027,-1.1631,-2.7558,-0.0397,-0.4556,-1.8785,-0.9522,-1.5362,-2.0573,-1.1105,-2.8773,0
126,-2.4577,-0.4279,-2.4381,-1.0631,-1.5292,-0.3952,-1.9372,-0.9513,-1.8022,-0.7415,0.1494,-1.6795,-0.1019,-1.347,-1.8112,-1.6607,-2.5561,0
127,-2.4246,-0.7475,-1.4608,0.0892,0.8782,-0.0293,-1.9761,-1.3903,-1.1547,-1.4553,-0.3624,-2.7631,0.8175,-0.9302,1.7847,-2.4286,0.6602,0
128,-2.132,-0.5718,-1.5597,0.3064,-0.7694,-0.0572,-1.4725,-1.1692,0.253,0.0134,0.003,-1.3845,0.3961,-1.0747,-0.6618,-0.8403,-0.808,0
129,-1.26,-0.6773,-1.8778,0.9303,-1.2764,-0.996,-1.8839,-0.4291,-0.6705,-1.1365,-0.0282,-1.8854,-0.5277,-1.4475,-1.4687,-2.3825,-0.4982,0
130,-1.335,-0.3009,-2.0153,-2.6781,-1.3452,-1.1548,-2.1147,-0.7564,-2.2929,-1.18,-0.1157,-2.4893,0.1711,-1.8405,-1.5801,-1.0265,-2.4524,0
131,-2.2619,-0.4223,-2.4304,-1.8127,-1.4335,-2.3344,-2.6639,-1.2611,-0.0561,-1.8547,-0.7573,-3.1273,0.0847,-1.6807,-2.0675,-3.6952,-1.8188,0
