,P07585,P52823,Q9P0M4,Q9UGM5,Q9Y653,Class Label
316,0.751,2.794,-0.161,-2.5834,2.7754,1
317,-1.154,0.5661,0.9467,-4.122,0.2672,1
318,-1.9434,-0.1993,-1.2963,-3.6265,0.1722,1
319,-1.7186,1.1592,-1.032,-1.2001,-0.0193,1
320,-0.2639,4.3898,2.9356,-2.5574,1.1661,1
321,-0.2643,-0.2343,-1.472,-3.5301,-0.0923,1
322,0.2798,1.2751,0.6027,-2.2869,-0.6469,1
323,-2.1492,-0.4534,-0.9271,-3.6548,0.5213,1
324,-0.8433,-1.3455,1.324,-5.0231,-1.0597,1
325,-0.0499,-0.5249,0.8627,-2.8858,0.4132,1
326,-1.8284,-0.7768,0.7799,-2.522,-1.0091,1
327,0.1748,3.0761,3.7128,-2.2226,0.1431,1
328,0.0934,3.8266,2.2019,-2.2896,-0.7045,1
329,-0.5505,0.2057,0.4751,-2.4632,-0.0404,1
330,0.3543,2.7772,1.7791,-2.0018,1.4798,1
331,0.384,3.3672,0.4361,-2.7944,0.6061,1
332,-2.4301,-0.8906,-1.9502,-1.9722,0.6181,1
333,0.6448,0.1199,1.7063,-4.1992,-0.5389,1
334,-1.1097,1.8152,-1.4101,-1.3051,-0.6206,1
335,-1.2406,0.238,-1.2618,-2.0838,0.2267,1
336,-0.3377,0.4851,0.0351,-2.7695,0.7177,1
337,0.839,1.1093,3.31,-3.3561,1.0332,1
338,-0.7789,0.8657,0.3844,-3.2582,1.2588,1
339,0.0824,2.3867,1.1664,-2.9712,1.8874,1
340,-1.6721,-0.8692,-0.7645,-2.7253,-2.4301,1
341,-0.5414,1.5468,0.584,-2.443,1.2652,1
342,-0.6373,1.2397,-0.0589,-3.0489,-0.6997,1
343,0.3649,1.7518,1.0035,-2.2663,-0.7984,1
