,O15232,O60635,P00750,P07585,P08727,P08833,P14136,P16234,P18627,P19429,P52823,P55259,Q9P0M4,Q9Y653
147,-0.4416,-0.5258,0.5704,0.0695,-0.5789,-2.6994,-0.7136,-0.9191,-0.6193,-2.3054,1.318,-0.255,-0.2762,-0.7827
148,-1.5125,-0.6119,-1.7422,-2.3699,0.1127,0.4818,-0.9485,-1.7025,-0.7786,-2.5211,-1.1522,-1.2127,-1.4462,-2.2104
149,-0.3781,0.0756,-0.5363,-1.8577,-0.7269,0.3284,-0.1991,-0.3905,-0.7599,-2.244,0.3641,0.3071,0.2532,-1.7909
150,-0.3453,-0.5267,-0.7279,-1.9532,1.7343,-0.1761,-0.8932,-1.1953,-0.7404,-3.5905,-0.3514,-1.7206,-0.9118,-1.2681
151,0.5866,-0.3981,-1.3265,-0.669,3.1105,-1.145,-0.1636,-1.229,-0.0313,-2.5381,0.7223,-0.5405,-0.811,-1.3793
152,-0.5955,0.0085,-2.0475,-1.092,-1.0959,-0.7923,0.2961,-1.1483,-1.4405,-2.1605,-1.5576,2.8949,-0.1813,0.3543
153,-0.9762,-0.398,-1.3599,-2.0517,0.8728,-1.4987,-0.9177,-1.2772,-0.2617,-2.4758,-0.267,-0.9403,-0.6135,-2.0356
154,-0.0643,0.5269,-1.001,-1.5094,1.4544,-2.0632,-0.3972,-1.471,0.0344,-1.7544,0.0193,-0.7237,1.0575,-1.5471
155,-0.7366,-0.1259,0.7277,-0.9394,-0.4775,0.5774,0.0868,-1.0335,-1.1585,-2.1205,-0.1852,0.2838,2.0231,-0.4382
156,0.0659,-0.7038,-1.4621,-1.7521,-0.6806,-3.3421,-1.6469,-1.9715,-2.3832,-3.2802,-0.9663,0.4979,0.5012,-2.6875
157,-1.6614,-0.6844,-1.3889,-1.8609,-0.6074,-1.923,-0.9041,-1.8743,-1.2345,-3.7317,-1.454,1.2249,-1.6742,-2.5658
158,-0.7242,-0.2161,-1.0777,-2.3166,2.9657,-1.1286,-1.2553,-0.7369,0.1852,-2.7776,-0.11,-2.1513,-1.7238,-1.5178
159,-1.8941,-0.6323,-2.228,-2.099,-1.1371,-2.8102,-1.3611,-1.9858,-0.4803,-3.5484,-1.4457,-0.4812,-0.7574,-2.0995
160,-1.005,-0.4621,-2.4644,-1.8572,-0.7463,1.4136,-0.8255,-1.2734,-0.6518,-2.5842,-1.3317,-1.1443,-1.0539,-0.5812
161,1.171,-0.6381,-0.8405,-1.1228,2.1332,-0.2486,-1.169,-1.4322,0.046,-3.0175,0.219,1.1459,-1.4037,-1.0736
162,0.5941,-0.1707,-1.8639,-2.3092,2.0456,-1.0872,-0.9628,-1.6606,0.4002,-2.6462,-0.2436,-0.7144,-1.1485,-1.1277
163,-0.8728,-0.542,-0.8538,-1.4238,0.2228,-0.4219,-0.8032,-1.6593,0.0827,-3.5581,0.2762,-1.5327,-0.88,-1.2768
164,-0.7708,-0.7844,-1.3724,-0.8507,-0.0822,2.3817,-1.0112,-0.1884,-1.5635,-3.171,0.7929,-0.8759,3.2687,-1.0221
165,-1.3177,-0.5211,-1.7643,-2.3141,3.2406,0.1265,-1.6049,-1.5167,-0.5466,-3.043,-0.4878,-0.9067,-0.9218,-0.1332
