,O15232,O60635,P00750,P08727,P08833,P14136,P16234,P18627,P19429,P21246,P52823,P55259,Q8IU54,Q96JP9,Q9P0M4,Q9Y653,Class Label
109,-0.2803,-0.5937,-2.4197,0.8956,0.9418,0.3344,0.0375,-0.0546,-1.2448,0.2263,0.6811,0.7363,0.8318,-1.5662,-0.5652,-1.1602,0
110,-1.0938,-0.5728,-0.6509,1.2422,2.4703,-0.8892,0.0185,1.1865,-3.3259,0.0316,2.0014,0.1505,1.6992,-1.3985,0.7413,1.5435,0
111,-0.4183,-0.2011,-0.4301,2.9514,2.4494,0.1782,-1.4823,0.3952,-0.4383,1.6874,1.4576,-1.3252,4.3083,-1.2994,0.7208,-1.082,0
112,-1.4381,-0.6987,-2.2649,-0.6229,3.1664,-0.9811,-1.6583,0.1551,-3.2452,-0.8061,-1.804,-1.8266,2.7637,-2.2119,-1.0618,-1.9367,0
113,-0.1827,-0.261,-2.5501,-2.0688,-2.7802,-1.3178,-2.3055,-2.5922,-3.0285,-2.3084,-1.7127,-1.9069,-0.9235,-1.737,-2.4447,-2.9843,0
114,-0.608,-0.4026,-1.058,0.6921,-0.7348,-0.2221,-1.4412,-0.5894,-2.8198,-1.1666,0.6774,1.1963,-0.9624,-1.7877,-1.7065,-1.2682,0
115,-2.8075,-0.3949,-0.7345,-1.4518,-2.0668,-0.8188,-1.968,-2.1947,-2.9055,-1.1939,-1.7967,0.9908,-0.471,-1.5767,-1.8553,-1.8654,0
116,-1.4582,-0.802,-1.948,0.0353,1.0539,-1.5418,-1.9325,-1.3765,-3.1298,-1.6383,1.0365,-1.9931,-0.4762,-2.0263,0.5255,-2.1145,0
117,-0.5545,-0.0731,1.5559,2.8818,2.8758,0.1983,-0.9265,0.4331,-2.6624,0.1317,3.4017,-1.0554,2.9541,-1.7838,-0.7978,-0.8081,0
118,-1.4578,-0.2905,-1.5166,0.1981,-2.5039,-1.3529,-1.9851,-0.2974,-2.745,-0.3392,-0.7445,-1.1114,1.7113,-1.6707,-0.7296,-2.3782,0
119,-0.3304,-0.452,-0.0534,0.6119,0.7084,-2.0707,-1.643,-0.8135,-2.8607,-1.1239,0.7478,-0.5601,1.039,-1.4665,-2.9989,-0.3071,0
120,-1.0393,-0.631,-1.7685,0.4228,-4.8377,-1.357,-1.7091,-0.3395,-2.8331,-0.6388,-0.2564,-2.6035,3.0453,-1.833,-0.4172,-2.9649,0
121,-0.2159,0.5063,-1.5183,2.7187,0.9943,-0.696,-1.5566,-1.0354,-1.5293,-0.6284,1.3,0.2997,1.1068,-1.5155,-1.2921,-1.3614,0
122,-0.0028,-0.6531,0.5471,0.2497,0.1493,0.7344,-1.0912,0.5584,-3.4854,-0.539,0.17,-0.9222,2.3468,-2.0461,-1.3394,-1.2085,0
123,-0.1489,-0.6037,-1.8414,-1.7611,-3.6931,-1.293,-1.8255,-0.6497,-4.0857,-2.5223,-1.0352,-1.0638,0.4112,-1.475,-1.658,-1.8712,0
124,-0.8083,-0.6718,-1.564,-0.597,-4.0849,-2.0069,-2.2332,-0.9536,-2.9739,-1.3955,-1.4025,-2.8065,0.3378,-1.7019,-1.2323,-2.5156,0
125,-1.8783,-0.3344,-1.0545,0.1455,-2.869,-1.391,-1.7717,-0.2152,-3.3808,-0.3477,-1.1631,-2.7558,2.6453,-1.6036,-2.0573,-2.8773,0
126,-1.6913,-0.4279,-1.8079,-1.0631,-3.1279,-1.5292,-1.728,-0.3952,-3.2048,-0.9946,-0.9513,-1.8022,1.7629,-1.7315,-1.8112,-2.5561,0
127,-1.0715,-0.7475,-1.1356,0.0892,0.2444,0.8782,-0.6306,-0.0293,-2.3509,-0.696,-1.3903,-1.1547,0.5513,-1.4918,1.7847,0.6602,0
128,-1.0436,-0.5718,-0.8216,0.3064,-1.5256,-0.7694,-1.2779,-0.0572,-2.6211,0.0161,-1.1692,0.253,1.8719,-1.1907,-0.6618,-0.808,0
129,-1.3875,-0.6773,-1.4961,0.9303,-2.7641,-1.2764,-2.2777,-0.996,-3.1788,-1.6629,-0.4291,-0.6705,0.2664,-1.8613,-1.4687,-0.4982,0
130,-2.2685,-0.3009,-1.8577,-2.6781,-5.0606,-1.3452,-2.0507,-1.1548,-2.1159,-0.2931,-0.7564,-2.2929,-0.5392,-2.0046,-1.5801,-2.4524,0
131,-2.2704,-0.4223,-1.0043,-1.8127,-2.9568,-1.4335,-1.6418,-2.3344,-2.6711,-1.0451,-1.2611,-0.0561,-0.2022,-1.9564,-2.0675,-1.8188,0
132,-0.7404,1.3777,-2.0549,-1.9223,-0.1787,-1.0982,-1.2279,-1.0838,-2.0856,-1.4424,-0.9416,-0.1522,-0.2448,-1.3996,-0.8471,-2.1033,0
133,-2.4698,-0.638,-1.3337,-0.4366,-2.5132,-0.2939,-1.8184,-0.6936,-2.9284,-0.5106,-0.7125,-1.0321,0.1207,-1.6601,-0.5944,-2.7871,0
134,0.0804,-0.5973,-0.5804,1.0863,-1.1896,-0.5056,-0.947,0.0108,-2.2633,-0.6812,-0.1712,2.7287,1.222,-1.6202,-0.0148,-1.5997,0
135,-1.4967,-0.6634,-2.0992,-0.9239,-4.5541,-1.4407,-1.5178,-0.8034,-2.7803,-0.8426,-1.5003,-1.679,1.4145,-1.6563,-1.8398,-1.9098,0
136,-0.0137,-0.7351,-2.0779,-1.1008,2.2402,-1.0969,-0.7692,-0.263,0.3258,-1.4209,0.3492,-0.7866,2.3162,-1.213,-0.2111,-1.9713,0
137,-0.6576,-0.3111,-1.619,1.3872,1.9162,-0.8962,-1.5772,0.0767,-3.3687,-0.6201,-0.6509,-0.6957,2.4114,-1.3771,-2.3952,-1.5628,0
138,-1.2136,1.5248,-1.0195,1.4102,-2.0555,-0.8531,-1.6388,-0.9857,-3.0353,-2.0855,-0.4239,-1.1048,0.1869,-1.3161,-0.5944,-1.9828,0
139,-0.5853,-0.304,-0.379,1.9963,3.1635,-0.2042,-0.1482,-0.8028,-3.5672,2.0202,1.3575,-1.3526,1.546,-1.551,-0.5187,-0.9276,0
140,0.4262,-0.4917,-0.958,3.5015,-2.3791,0.7798,-0.9779,0.2925,-3.7632,-1.4459,-0.0131,-0.1863,2.4081,-1.8392,-1.2544,0.2433,0
